" "	" 192.168.18.9's load  "	" 192.168.18.8's load  "	" 192.168.18.7's load  "	" 192.168.18.6's load  "	" 192.168.18.5's load  "	" 192.168.18.4's load  "	" 192.168.18.3's load  "	" 192.168.18.2's load  "	" 192.168.18.1's load  "	" 192.168.18.0's load  "	" 192.168.18.13's load  "	" 192.168.18.12's load  "	" 192.168.18.11's load  "	" 192.168.18.10's load "
"22:31:59 "	0	0	0	0	0	0	0	0	0	2.0178891816	0	0	0	0
"22:32:00 "	0	0	0	0	0	0	0	2.9992750467	3.7664133555	2.0178891816	0	0	0	0
"22:32:01 "	0	0	0	0	0	2.7980381597	2.8796926873	2.9992750467	3.7664133555	2.0178891816	0	0	0	0
"22:32:02 "	0	0	0	0	2.364844331	2.7980381597	2.8796926873	2.9992750467	3.7664133555	2.0178891816	0	0	0	0
"22:32:03 "	0	0	2.3469513041	2.7218684745	2.364844331	2.7980381597	2.8796926873	2.9992750467	3.7664133555	2.0178891816	0	0	0	0
"22:32:04 "	2.8082698485	2.3959335142	2.3469513041	2.7218684745	2.364844331	2.7980381597	2.8796926873	2.9992750467	3.7664133555	2.0178891816	0	0	0	0
"22:32:05 "	2.8082698485	2.3959335142	2.3469513041	2.7218684745	2.364844331	2.7980381597	2.8796926873	2.9992750467	3.7664133555	2.0178891816	0	0	2.2317431028	2.9480799123
"22:32:06 "	2.8082698485	2.3959335142	2.3469513041	2.7218684745	2.364844331	2.7980381597	2.8796926873	2.9992750467	3.7664133555	2.0178891816	1.9630264102	2.9130279206	2.2317431028	2.9480799123
"22:32:07 "	2.8082698485	2.3959335142	2.3469513041	2.7218684745	2.364844331	2.7980381597	2.8796926873	2.9992750467	3.7664133555	2.0178891816	3.938308035	5.3477268913	2.2317431028	2.9480799123
"22:32:08 "	2.8082698485	2.3959335142	2.3469513041	5.8167719222	2.364844331	2.7980381597	2.8796926873	2.9992750467	3.7664133555	2.0178891816	3.938308035	5.3477268913	6.5251186743	2.9480799123
"22:32:09 "	2.8082698485	2.3959335142	2.3469513041	5.8167719222	5.139698811	4.8223579204	2.8796926873	2.9992750467	3.7664133555	2.0178891816	3.938308035	5.3477268913	6.5251186743	2.9480799123
"22:32:10 "	5.2403437713	2.3959335142	2.3469513041	5.8167719222	5.139698811	4.8223579204	6.6395436391	2.9992750467	3.7664133555	2.0178891816	3.938308035	5.3477268913	6.5251186743	2.9480799123
"22:32:11 "	5.2403437713	5.5472784403	5.7651486672	5.8167719222	5.139698811	4.8223579204	6.6395436391	2.9992750467	3.7664133555	2.0178891816	3.938308035	5.3477268913	6.5251186743	2.9480799123
"22:32:12 "	5.2403437713	5.5472784403	5.7651486672	5.8167719222	5.139698811	4.8223579204	6.6395436391	2.9992750467	3.7664133555	4.5206217031	3.938308035	5.3477268913	6.5251186743	6.7691821491
"22:32:13 "	5.2403437713	5.5472784403	5.7651486672	5.8167719222	5.139698811	4.8223579204	6.6395436391	8.3336837621	3.7664133555	4.5206217031	3.938308035	5.3477268913	6.5251186743	6.7691821491
"22:32:14 "	5.2403437713	5.5472784403	5.7651486672	5.8167719222	5.139698811	4.8223579204	6.6395436391	8.3336837621	6.3175486218	7.2875781632	3.938308035	5.3477268913	6.5251186743	6.7691821491
"22:32:15 "	5.2403437713	5.5472784403	5.7651486672	5.8167719222	5.139698811	4.8223579204	6.6395436391	8.3336837621	6.3175486218	7.2875781632	6.9000389737	5.3477268913	6.5251186743	6.7691821491
"22:32:16 "	7.6634203691	7.6361801235	5.7651486672	5.8167719222	5.139698811	4.8223579204	6.6395436391	8.3336837621	6.3175486218	7.2875781632	6.9000389737	5.3477268913	6.5251186743	6.7691821491
"22:32:17 "	7.6634203691	7.6361801235	5.7651486672	5.8167719222	9.6022421275	8.8347145398	6.6395436391	8.3336837621	6.3175486218	7.2875781632	6.9000389737	5.3477268913	6.5251186743	6.7691821491
"22:32:18 "	7.6634203691	7.6361801235	8.5944468164	5.8167719222	9.6022421275	8.8347145398	6.6395436391	8.3336837621	6.3175486218	7.2875781632	6.9000389737	8.0954791063	6.5251186743	6.7691821491
"22:32:19 "	7.6634203691	7.6361801235	8.5944468164	9.2069321796	9.6022421275	8.8347145398	6.6395436391	8.3336837621	9.3869488462	7.2875781632	6.9000389737	8.0954791063	6.5251186743	6.7691821491
"22:32:20 "	7.6634203691	7.6361801235	8.5944468164	9.2069321796	9.6022421275	8.8347145398	6.6395436391	8.3336837621	9.3869488462	10.2858149212	6.9000389737	8.0954791063	6.5251186743	10.8040699117
"22:32:21 "	7.6634203691	7.6361801235	8.5944468164	9.2069321796	9.6022421275	8.8347145398	10.2727082864	8.3336837621	9.3869488462	10.2858149212	6.9000389737	8.0954791063	9.9094666131	10.8040699117
"22:32:23 "	11.6049968468	7.6361801235	8.5944468164	9.2069321796	9.6022421275	8.8347145398	10.2727082864	8.3336837621	9.3869488462	10.2858149212	10.7109882108	8.0954791063	9.9094666131	10.8040699117
"22:32:24 "	11.6049968468	9.7762480839	8.5944468164	9.2069321796	9.6022421275	8.8347145398	10.2727082864	8.3336837621	9.3869488462	10.2858149212	10.7109882108	11.3028550556	9.9094666131	10.8040699117
"22:32:25 "	11.6049968468	9.7762480839	10.9796155288	9.2069321796	9.6022421275	8.8347145398	10.2727082864	11.2915668003	9.3869488462	10.2858149212	10.7109882108	11.3028550556	9.9094666131	10.8040699117
"22:32:26 "	11.6049968468	13.1613267794	10.9796155288	9.2069321796	9.6022421275	11.9006811013	10.2727082864	11.2915668003	9.3869488462	10.2858149212	10.7109882108	11.3028550556	9.9094666131	10.8040699117
"22:32:27 "	11.6049968468	13.1613267794	10.9796155288	11.9379821837	9.6022421275	11.9006811013	10.2727082864	11.2915668003	12.8857147213	10.2858149212	10.7109882108	11.3028550556	9.9094666131	10.8040699117
"22:32:28 "	11.6049968468	13.1613267794	10.9796155288	11.9379821837	11.850321669	11.9006811013	10.2727082864	11.2915668003	12.8857147213	10.2858149212	10.7109882108	11.3028550556	9.9094666131	10.8040699117
"22:32:29 "	11.6049968468	13.1613267794	10.9796155288	11.9379821837	11.850321669	11.9006811013	10.2727082864	11.2915668003	12.8857147213	12.6051038254	10.7109882108	11.3028550556	13.5301323902	10.8040699117
"22:32:30 "	11.6049968468	13.1613267794	10.9796155288	11.9379821837	11.850321669	11.9006811013	13.5190992403	11.2915668003	12.8857147213	12.6051038254	13.1772385801	11.3028550556	13.5301323902	10.8040699117
"22:32:31 "	14.2199079674	13.1613267794	10.9796155288	11.9379821837	11.850321669	11.9006811013	13.5190992403	11.2915668003	12.8857147213	12.6051038254	13.1772385801	11.3028550556	13.5301323902	12.669072856
"22:32:32 "	14.2199079674	13.1613267794	10.9796155288	11.9379821837	11.850321669	11.9006811013	13.5190992403	14.4352218526	12.8857147213	12.6051038254	13.1772385801	14.4739272506	13.5301323902	12.669072856
"22:32:33 "	14.2199079674	13.1613267794	12.9395373633	13.4433998765	11.850321669	11.9006811013	13.5190992403	14.4352218526	12.8857147213	12.6051038254	13.1772385801	14.4739272506	13.5301323902	12.669072856
"22:32:34 "	14.2199079674	13.1613267794	12.9395373633	13.4433998765	14.4723427434	14.9087356407	13.5190992403	14.4352218526	12.8857147213	12.6051038254	13.1772385801	14.4739272506	13.5301323902	12.669072856
"22:32:35 "	14.2199079674	13.1613267794	15.1418843207	17.3178381283	14.4723427434	14.9087356407	13.5190992403	14.4352218526	12.8857147213	12.6051038254	13.1772385801	14.4739272506	13.5301323902	12.669072856
"22:32:36 "	14.2199079674	13.1613267794	15.1418843207	17.3178381283	14.4723427434	14.9087356407	13.5190992403	14.4352218526	12.8857147213	12.6051038254	15.4214131539	14.4739272506	13.5301323902	15.1060723032
"22:32:37 "	14.2199079674	13.1613267794	15.1418843207	17.3178381283	14.4723427434	14.9087356407	13.5190992403	14.4352218526	12.8857147213	17.3461091036	15.4214131539	14.4739272506	13.5301323902	15.1060723032
"22:32:38 "	14.2199079674	14.8906398022	15.1418843207	17.3178381283	14.4723427434	14.9087356407	13.5190992403	14.4352218526	16.7818065896	17.3461091036	15.4214131539	14.4739272506	13.5301323902	15.1060723032
"22:32:39 "	14.2199079674	14.8906398022	15.1418843207	17.3178381283	14.4723427434	14.9087356407	15.6860841996	14.4352218526	16.7818065896	17.3461091036	15.4214131539	14.4739272506	17.4269558504	15.1060723032
"22:32:40 "	14.2199079674	18.1605904723	15.1418843207	17.3178381283	14.4723427434	14.9087356407	18.2501468546	14.4352218526	16.7818065896	17.3461091036	15.4214131539	14.4739272506	17.4269558504	15.1060723032
