 	 192.168.18.9's load  	 192.168.18.8's load  	 192.168.18.7's load  	 192.168.18.6's load  	 192.168.18.5's load  	 192.168.18.4's load  	 192.168.18.3's load  	 192.168.18.2's load  	 192.168.18.1's load  	 192.168.18.0's load  	 192.168.18.13's load  	 192.168.18.12's load  	 192.168.18.11's load  	 192.168.18.10's load 
21:05:00 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
21:05:01 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
21:05:02 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
21:05:03 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
21:05:04 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
21:05:05 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
21:05:06 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
21:05:07 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 7.53195418189379	 0.0	 0.0	 0.0	 0.0
21:05:08 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 5.18248453132004	 7.53195418189379	 0.0	 0.0	 0.0	 0.0
21:05:09 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 6.74201736926612	 5.18248453132004	 7.53195418189379	 0.0	 0.0	 0.0	 0.0
21:05:10 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 6.34690674303374	 6.74201736926612	 5.18248453132004	 7.53195418189379	 0.0	 0.0	 0.0	 0.0
21:05:11 	 0.0	 0.0	 0.0	 0.0	 0.0	 5.98003341237498	 6.34690674303374	 6.74201736926612	 5.18248453132004	 7.53195418189379	 0.0	 0.0	 0.0	 0.0
21:05:12 	 0.0	 0.0	 0.0	 0.0	 5.87463603222532	 5.98003341237498	 6.34690674303374	 6.74201736926612	 5.18248453132004	 7.53195418189379	 0.0	 0.0	 0.0	 0.0
21:05:13 	 0.0	 0.0	 0.0	 6.08469610476187	 5.87463603222532	 5.98003341237498	 6.34690674303374	 6.74201736926612	 5.18248453132004	 7.53195418189379	 0.0	 0.0	 0.0	 0.0
